"names","Formula","aicc","k","logL","delta.aic"
"model407","Surv(Erad_Time, Event) ~ area + public + private + maoriNumb + public:private","787.5397994741","9","-384.14489973705","52.0021138146451"
"model924","Surv(Erad_Time, Event) ~ area + public + private + privNumb + maoriNumb","787.552671728773","11","-381.846758399598","52.0149860693183"
"model138","Surv(Erad_Time, Event) ~ area + privNumb + maoriNumb + area:privNumb","787.587435814471","12","-380.687334928512","52.0497501550161"
"model515","Surv(Erad_Time, Event) ~ landing + public + private + privNumb","787.599763960918","8","-385.303330256321","52.0620783014635"
"model400","Surv(Erad_Time, Event) ~ area + public + private + maori + private:maori","787.599845263097","7","-386.416360987713","52.0621596036423"
"model1046","Surv(Erad_Time, Event) ~ landing + public + private + maori + maoriNumb","787.651225248427","9","-384.200612624213","52.113539588972"
"model1347","Surv(Erad_Time, Event) ~ dist + landing + public + private + maori + maoriNumb + public:private:maori","787.662303709185","18","-373.297818521259","52.1246180497307"
"model311","Surv(Erad_Time, Event) ~ dist + public + private + maori + public:private:maori","787.664836651376","14","-378.321626958782","52.1271509919214"
"model210","Surv(Erad_Time, Event) ~ private + maori + maoriNumb","787.689788673982","7","-386.461332693155","52.1521030145274"
"model136","Surv(Erad_Time, Event) ~ area + maori + maoriNumb","787.748268235997","7","-386.490572474163","52.2105825765417"
"model27","Surv(Erad_Time, Event) ~ area + privNumb","787.819586874214","6","-387.624079151392","52.2819012147587"
"model1456","Surv(Erad_Time, Event) ~ area + SS + public + maori + privNumb + maoriNumb + area:privNumb + public:maori","787.844927608598","16","-375.937062344445","52.3072419491436"
"model122","Surv(Erad_Time, Event) ~ area + public + private","787.890010878164","5","-388.742302736379","52.3523252187091"
"model416","Surv(Erad_Time, Event) ~ area + private + maori + privNumb","787.904811146051","8","-385.455853848888","52.3671254865965"
"model49","Surv(Erad_Time, Event) ~ public + private + public:private","787.939666045111","5","-388.767130319853","52.4019803856557"
"model408","Surv(Erad_Time, Event) ~ area + public + maori + privNumb","787.961040844212","8","-385.483968697968","52.4233551847569"
"model543","Surv(Erad_Time, Event) ~ public + maori + privNumb + maoriNumb + public:maori","788.014614736203","11","-382.077729903313","52.4769290767481"
"model205","Surv(Erad_Time, Event) ~ public + maori + maoriNumb","788.019039892665","7","-386.625958302497","52.48135423321"
"model399","Surv(Erad_Time, Event) ~ area + public + private + maori + public:maori","788.038987076612","7","-386.63593189447","52.5013014171568"
"model398","Surv(Erad_Time, Event) ~ area + public + private + maori + public:private","788.073157874302","7","-386.653017293315","52.5354722148472"
"model211","Surv(Erad_Time, Event) ~ private + maori + maoriNumb + private:maori","788.124461750775","8","-385.56567915125","52.5867760913206"
"model120","Surv(Erad_Time, Event) ~ area + landing + privNumb + area:privNumb","788.169369818948","10","-383.315454140243","52.6316841594936"
"model389","Surv(Erad_Time, Event) ~ area + landing + private + privNumb","788.190895719545","8","-385.598896135635","52.6532100600904"
"model1519","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + public:private","788.223783795277","11","-382.18231443285","52.6860981358224"
"model1520","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + public:maori","788.245115797671","11","-382.192980434047","52.7074301382158"
"model209","Surv(Erad_Time, Event) ~ private + maori + privNumb + private:maori","788.246681720368","8","-385.626789136046","52.7089960609133"
"model1521","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + private:maori","788.2552540379","11","-382.198049554161","52.7175683784448"
"model898","Surv(Erad_Time, Event) ~ area + landing + public + privNumb + maoriNumb + area:privNumb","788.363582888207","14","-378.671000077197","52.8258972287517"
"model1528","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + maoriNumb + public:private","788.365871070666","11","-382.253358070544","52.8281854112111"
"model1409","Surv(Erad_Time, Event) ~ area + SS + landing + public + private + maori + public:private:maori","788.394850823098","16","-376.212023951695","52.8571651636432"
"model1530","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + maoriNumb + private:maori","788.423179910453","11","-382.282012490438","52.8854942509982"
"model1529","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + maoriNumb + public:maori","788.460433902534","11","-382.300639486478","52.9227482430788"
"model56","Surv(Erad_Time, Event) ~ private + privNumb","788.51400719181","6","-387.971289310191","52.9763215323553"
"model1827","Surv(Erad_Time, Event) ~ dist + area + public + private + maori + privNumb + maoriNumb + public:private:maori","788.522911496605","21","-369.761455748302","52.9852258371501"
"model919","Surv(Erad_Time, Event) ~ area + public + private + maori + maoriNumb","788.548146987941","9","-384.64907349397","53.010461328486"
"model537","Surv(Erad_Time, Event) ~ public + private + maori + maoriNumb + public:maori","788.559878371816","9","-384.654939185908","53.0221927123616"
"model28","Surv(Erad_Time, Event) ~ area + privNumb + area:privNumb","788.578730922457","9","-384.664365461228","53.0410452630022"
"model530","Surv(Erad_Time, Event) ~ public + private + maori + privNumb","788.617634108384","8","-385.812265330054","53.079948448929"
"model886","Surv(Erad_Time, Event) ~ area + landing + public + private + privNumb + area:privNumb","788.632761407132","12","-381.209997724843","53.0950757476774"
"model892","Surv(Erad_Time, Event) ~ area + landing + public + maori + privNumb + area:privNumb","788.640160671871","12","-381.213697357212","53.1024750124162"
"model809","Surv(Erad_Time, Event) ~ area + SS + public + private + maori + public:private:maori","788.643881335681","15","-377.582810233058","53.1061956762262"
"model516","Surv(Erad_Time, Event) ~ landing + public + private + privNumb + public:private","788.646099596244","9","-384.698049798122","53.1084139367887"
"model204","Surv(Erad_Time, Event) ~ public + maori + privNumb + public:maori","788.689863193216","8","-385.84837987247","53.1521775337611"
"model199","Surv(Erad_Time, Event) ~ public + private + privNumb","788.790296358671","7","-387.0115865355","53.2526106992158"
"model1044","Surv(Erad_Time, Event) ~ landing + public + private + maori + privNumb + private:maori","788.846524424077","10","-383.654031442808","53.3088387646219"
"model131","Surv(Erad_Time, Event) ~ area + private + privNumb","788.860032255158","7","-387.046454483744","53.3223465957036"
"model1043","Surv(Erad_Time, Event) ~ landing + public + private + maori + privNumb + public:maori","788.942329886839","10","-383.701934174189","53.4046442273838"
"model536","Surv(Erad_Time, Event) ~ public + private + maori + maoriNumb + public:private","788.945558151536","9","-384.847779075768","53.4078724920813"
