"names","Formula","aicc","k","logL","delta.aic"
"model1839","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + maoriNumb","748.69940089298","11","-362.420122981701","13.1617152335253"
"model1790","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + maori + privNumb + maoriNumb + area:privNumb + public:maori","748.718033123459","17","-355.10901656173","13.1803474640045"
"model2292","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + private:maori","748.74759414639","18","-353.840463739862","13.2099084869351"
"model2236","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + privNumb + maoriNumb","748.828971733781","14","-358.903694499984","13.2912860743261"
"model2067","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + maori + privNumb + maoriNumb","748.893842312712","13","-360.146921156356","13.3561566532574"
"model2348","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + maori + privNumb + maoriNumb + public:private","748.936106519036","16","-356.482651799664","13.3984208595812"
"model1062","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public","748.936732008947","8","-365.971814280336","13.3990463494923"
"model966","Surv(Erad_Time, Event) ~ SS + Buffer + private + maori + maoriNumb + private:maori","748.976956519438","10","-363.719247490488","13.4392708599836"
"model1556","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + public:maori","748.985607626998","9","-364.867803813499","13.4479219675427"
"model838","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + privNumb","749.001904804034","9","-364.875952402017","13.4642191445788"
"model841","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maori","749.006864028567","7","-367.119870370448","13.4691783691125"
"model2042","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + public:maori","749.031053731412","17","-355.265526865706","13.4933680719571"
"model1841","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + maori + privNumb","749.071744697039","11","-362.606294883731","13.5340590375838"
"model1921","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb + area:privNumb","749.086426143464","14","-359.032421704825","13.548740484009"
"model967","Surv(Erad_Time, Event) ~ SS + Buffer + private + privNumb + maoriNumb","749.19031676743","11","-362.665580918926","13.6526311079748"
"model1568","Surv(Erad_Time, Event) ~ SS + Buffer + landing + private + maori + privNumb","749.199515121117","10","-363.830526791327","13.6618294616617"
"model365","Surv(Erad_Time, Event) ~ area + Buffer + public + maori","749.237355158785","6","-368.332963293678","13.6996694993297"
"model662","Surv(Erad_Time, Event) ~ dist + SS + Buffer + privNumb + maoriNumb","749.260744193428","11","-362.700794631925","13.7230585339735"
"model2097","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + privNumb","749.265664665461","12","-361.526449354007","13.7279790060065"
"model486","Surv(Erad_Time, Event) ~ Buffer + landing + private + maoriNumb","749.274141495182","8","-366.140519023453","13.7364558357274"
"model765","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public","749.295184766613","7","-367.264030739471","13.7574991071582"
"model435","Surv(Erad_Time, Event) ~ SS + Buffer + public + privNumb","749.303247543287","8","-366.155072047505","13.7655618838318"
"model2091","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + privNumb","749.334980422288","12","-361.56110723242","13.7972947628327"
"model773","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + maori","749.342174242969","7","-367.287525477649","13.8044885835144"
"model1018","Surv(Erad_Time, Event) ~ Buffer + landing + public + privNumb + maoriNumb","749.369245093583","11","-362.755045082003","13.8315594341278"
"model1555","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + public:private","749.38089632619","9","-365.065448163095","13.8432106667356"
"model1918","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + private:maori","749.4039766581","10","-363.932757559819","13.8662909986452"
"model2137","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + maori + privNumb + maoriNumb + area:privNumb + public:maori","749.419921665475","18","-354.176627499404","13.8822360060198"
"model1926","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + privNumb","749.423175105654","11","-362.782010088038","13.8854894461995"
"model330","Surv(Erad_Time, Event) ~ area + SS + Buffer + maori","749.463318358888","6","-368.44594489373","13.9256326994333"
"model2291","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + public:maori","749.511482529238","18","-354.222407931286","13.9737968697837"
"model1834","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + maori + public:maori","749.523925737581","10","-363.99273209956","13.9862400781262"
"model437","Surv(Erad_Time, Event) ~ SS + Buffer + private + maori","749.533222227484","6","-368.480896828028","13.9955365680288"
"model142","Surv(Erad_Time, Event) ~ SS + Buffer + maori","749.53515909884","5","-369.564876846717","13.9974734393852"
"model2070","Surv(Erad_Time, Event) ~ SS + Buffer + landing + private + maori + privNumb + maoriNumb + private:maori","749.54494130664","14","-359.261679286413","14.0072556471847"
"model2088","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + public:maori","749.554812968796","11","-362.847829019609","14.0171273093409"
"model1833","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + maori + public:private","749.594828786813","10","-364.028183624175","14.0571431273577"
"model968","Surv(Erad_Time, Event) ~ SS + Buffer + maori + privNumb + maoriNumb","749.599174126536","11","-362.870009598479","14.0614884670813"
"model1640","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + public:maori","749.62045812265","10","-364.040998292094","14.0827724631955"
"model938","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + maori","749.638776657045","7","-367.435826684687","14.1010909975898"
"model1848","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + private + maori + maoriNumb","749.680753432796","11","-362.910799251609","14.1430677733415"
"model433","Surv(Erad_Time, Event) ~ SS + Buffer + public + maori","749.700858166659","6","-368.564714797615","14.1631725072042"
"model2087","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + public:private","749.703988737269","11","-362.922416903846","14.1663030778146"
"model936","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private","749.708031235661","7","-367.470453973995","14.1703455762063"
"model2061","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + maoriNumb + public:private","749.730304065971","12","-361.758769054262","14.1926184065167"
"model1560","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + privNumb + public:private","749.788597455667","11","-362.964721263045","14.2509117962118"
"model1792","Surv(Erad_Time, Event) ~ dist + area + Buffer + private + maori + privNumb + maoriNumb + area:privNumb","749.809558956011","16","-356.919378018151","14.2718732965557"
"model1516","Surv(Erad_Time, Event) ~ area + Buffer + private + maori + privNumb + maoriNumb + area:privNumb + private:maori","749.810731592174","16","-356.919964336233","14.2730459327191"
"model2133","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + privNumb + maoriNumb + area:privNumb + public:private","749.830018150845","18","-354.381675742089","14.2923324913899"
"model2043","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + private:maori","749.830548092674","17","-355.665274046337","14.2928624332192"
"model778","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + maori","749.838500491447","7","-367.535688601888","14.3008148319925"
"model1235","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + maori","749.85625753294","8","-366.431577042332","14.3185718734849"
"model1637","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private","749.878269041302","9","-365.314134520651","14.3405833818475"
"model1070","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + maori","749.88191759396","8","-366.444407072842","14.3442319345053"
"model2139","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + private + maori + privNumb + maoriNumb + area:privNumb","749.889814300542","17","-355.694907150271","14.3521286410872"
"model576","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public","749.892495863414","7","-367.562686287872","14.3548102039596"
"model2098","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + privNumb + area:privNumb","749.924086115939","15","-358.222912623187","14.3864004564842"
"model370","Surv(Erad_Time, Event) ~ area + Buffer + private + maori","749.958576651554","6","-368.693574040063","14.4208909920994"
"model956","Surv(Erad_Time, Event) ~ SS + Buffer + public + private + maoriNumb","749.970733121595","9","-365.360366560798","14.4330474621402"
"model1851","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + maori + privNumb + maoriNumb","749.986430514348","13","-360.693215257174","14.4487448548933"
"model255","Surv(Erad_Time, Event) ~ dist + SS + Buffer + maori","750.02010494011","6","-368.724338184341","14.482419280655"
"model1233","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private","750.021592485565","8","-366.514244518645","14.4839068261105"
"model2207","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb","750.039820411067","17","-355.769910205533","14.5021347516118"
"model1927","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + privNumb + area:privNumb","750.040996483506","14","-359.509706874846","14.5033108240508"
"model2055","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + privNumb","750.06806165889","11","-363.104453364656","14.5303759994351"
"model549","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + maori","750.068694500658","7","-367.650785606493","14.5310088412028"
"model2347","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb","750.079434897845","18","-354.506384115589","14.5417492383904"
"model1920","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb","750.105477334733","11","-363.123161202578","14.5677916752777"
"model1359","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private","750.108315444968","8","-366.557605998346","14.5706297855129"
"model2240","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + private + maori + privNumb + maoriNumb","750.114109132047","14","-359.546263199117","14.5764234725917"
"model2096","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maoriNumb + public:private","750.119387107024","13","-360.759693553512","14.5817014475695"
"model1934","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + maori + privNumb","750.137192744564","11","-363.139018907493","14.5995070851089"
"model1138","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + maori","750.146371186181","8","-366.576633868953","14.6086855267265"
"model1133","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + maori","750.155374843984","8","-366.581135697854","14.6176891845296"
"model1916","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + public:private","750.190098784186","10","-364.325818622862","14.6524131247307"
"model1786","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + private + privNumb + maoriNumb + area:privNumb + public:private","750.241204782972","17","-355.870602391486","14.7035191235175"
"model1564","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + maori + privNumb + public:maori","750.268754906882","11","-363.204799988652","14.7310692474273"
"model2068","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + maori + privNumb + maoriNumb + public:maori","750.280411609709","14","-359.629414437948","14.7427259502539"
"model1372","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + maori + privNumb + area:privNumb","750.30990074594","13","-360.85495037297","14.7722150864854"
"model2066","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + privNumb + maoriNumb + public:private","750.312939872078","14","-359.645678569132","14.7752542126231"
"model656","Surv(Erad_Time, Event) ~ dist + SS + Buffer + private + maori","750.327421018521","7","-367.780148865425","14.7897353590657"
"model328","Surv(Erad_Time, Event) ~ area + SS + Buffer + public","750.335656223098","6","-368.882113825835","14.797970563643"
"model2041","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + public:private","750.367060165629","17","-355.933530082814","14.829374506174"
"model1075","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + private + maori","750.367158441305","8","-366.687027496515","14.8294727818507"
"model652","Surv(Erad_Time, Event) ~ dist + SS + Buffer + public + maori","750.377822193102","7","-367.805349452715","14.8401365336467"
"model441","Surv(Erad_Time, Event) ~ SS + Buffer + maori + privNumb","750.381390684178","8","-366.694143617951","14.843705024723"
"model1254","Surv(Erad_Time, Event) ~ dist + SS + Buffer + public + private + maoriNumb + public:private","750.395114932717","11","-363.26798000157","14.8574292732621"
"model1846","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + private + maori + privNumb","750.417267715649","11","-363.279056393036","14.8795820561938"
"model2094","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + privNumb + area:privNumb + public:private","750.423384908104","16","-357.226290994198","14.8856992486491"
"model1362","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + public:maori","750.445320484036","9","-365.597660242018","14.9076348245814"
"model1838","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + privNumb + public:private","750.449840901221","12","-362.118537471887","14.9121552417662"
"model1917","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + public:maori","750.464052894597","10","-364.462795678067","14.9263672351417"
"model586","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + privNumb","750.48294641108","9","-365.61647320554","14.9452607516255"
"model1265","Surv(Erad_Time, Event) ~ dist + SS + Buffer + maori + privNumb + maoriNumb","750.510670903086","12","-362.14895247282","14.9729852436311"
"model2353","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + public:maori","750.522958806154","19","-353.425658507555","14.9852731466995"
"model2105","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + maori + privNumb","750.537626744002","12","-362.162430393278","14.999941084547"
"model775","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + privNumb","750.550361670595","9","-365.650180835297","15.0126760111401"
"model2238","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + maori + privNumb + maoriNumb","750.577260560797","14","-359.777838913492","15.039574901342"
"model834","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private","750.585109287211","7","-367.90899299977","15.0474236277562"
"model1461","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maori","750.595414429057","8","-366.801155490391","15.0577287696021"
"model1072","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + privNumb","750.597248598973","10","-364.529393530256","15.0595629395179"
"model1586","Surv(Erad_Time, Event) ~ SS + Buffer + public + maori + privNumb + maoriNumb","750.610719668207","12","-362.19897685538","15.0730340087518"
"model1840","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + maoriNumb + public:private","750.648400919271","12","-362.217817480912","15.1107152598158"
"model842","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maori + private:maori","750.683056353494","8","-366.844976452609","15.1453706940391"
"model1970","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + maori + privNumb + maoriNumb + area:privNumb + private:maori","750.730167533887","17","-356.115083766943","15.1924818744318"
"model588","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + maoriNumb","750.739578134098","9","-365.744789067049","15.2018924746432"
"model1584","Surv(Erad_Time, Event) ~ SS + Buffer + public + private + privNumb + maoriNumb","750.746660928676","12","-362.266947485615","15.2089752692214"
"model223","Surv(Erad_Time, Event) ~ dist + area + Buffer + public","750.753849941153","6","-369.091210684862","15.2161642816984"
"model1023","Surv(Erad_Time, Event) ~ Buffer + landing + private + privNumb + maoriNumb","750.787712194602","11","-363.464278632512","15.250026535147"
"model846","Surv(Erad_Time, Event) ~ area + Buffer + landing + maori + privNumb","750.806236400754","9","-365.778118200377","15.2685507412992"
"model363","Surv(Erad_Time, Event) ~ area + Buffer + public + private","750.81058469282","6","-369.119578060696","15.2728990333657"
"model957","Surv(Erad_Time, Event) ~ SS + Buffer + public + private + maoriNumb + public:private","750.821349973301","10","-364.64144421742","15.2836643138463"
"model1264","Surv(Erad_Time, Event) ~ dist + SS + Buffer + private + privNumb + maoriNumb","750.85742027564","12","-362.322327159097","15.3197346161851"
"model1650","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + maori + privNumb + area:privNumb","750.865650547321","14","-359.922033906754","15.3279648878658"
"model2290","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + public:private","750.872703867243","18","-354.903018600288","15.335018207788"
"model1923","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb + area:privNumb + public:private","750.874232396298","15","-358.697985763366","15.3365467368433"
"model856","Surv(Erad_Time, Event) ~ area + Buffer + public + private + privNumb","750.907202551304","9","-365.828601275652","15.3695168918489"
"model1466","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + privNumb","750.938675558963","10","-364.700107010251","15.4009898995083"
"model438","Surv(Erad_Time, Event) ~ SS + Buffer + private + maori + private:maori","750.958171846305","7","-368.095524279317","15.4204861868499"
"model1365","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maoriNumb","750.984944419964","10","-364.723241440751","15.4472587605095"
"model646","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + private","750.986516399484","7","-368.109696555907","15.4488307400295"
"model836","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + maori","751.006416723121","7","-368.119646717725","15.468731063666"
"model2320","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + privNumb + area:privNumb","751.015020097294","16","-357.522108588793","15.4773344378394"
"model584","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + maori","751.02729770269","7","-368.13008720751","15.4896120432354"
"model440","Surv(Erad_Time, Event) ~ SS + Buffer + private + maoriNumb","751.03012429471","8","-367.018510423217","15.4924386352551"
"model2354","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + private:maori","751.048418943084","19","-353.688388576019","15.5107332836287"
"model1259","Surv(Erad_Time, Event) ~ dist + SS + Buffer + public + privNumb + maoriNumb","751.050846824374","12","-362.419040433464","15.513161164919"
"model1588","Surv(Erad_Time, Event) ~ SS + Buffer + private + maori + privNumb + maoriNumb","751.06187970161","12","-362.424556872082","15.5241940421555"
"model180","Surv(Erad_Time, Event) ~ Buffer + privNumb + maoriNumb","751.070073447143","9","-365.910036723571","15.532387787688"
"model958","Surv(Erad_Time, Event) ~ SS + Buffer + public + maori + privNumb","751.120653960045","9","-365.935326980022","15.5829683005901"
"model547","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public","751.135635061088","7","-368.184255886708","15.5979494016328"
"model937","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + public:private","751.193360727069","8","-367.100128639396","15.6556750676137"
"model2232","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + maori + maoriNumb + public:private","751.244006080319","13","-361.322003040159","15.7063204208638"
"model2316","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + public:maori","751.291932555075","15","-358.906835842755","15.7542468956204"
"model2315","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + public:private","751.312938965856","15","-358.917339048146","15.7752533064015"
"model1082","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + maori + maoriNumb","751.317389503338","10","-364.889463982438","15.7797038438829"
"model1569","Surv(Erad_Time, Event) ~ SS + Buffer + landing + private + maori + privNumb + private:maori","751.344419983244","11","-363.742632526833","15.8067343237893"
"model783","Surv(Erad_Time, Event) ~ area + SS + Buffer + maori + privNumb","751.349025559861","9","-366.04951277993","15.8113399004059"
"model1579","Surv(Erad_Time, Event) ~ SS + Buffer + public + private + maori + maoriNumb","751.368316165999","10","-364.914927313769","15.8306305065443"
"model939","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + maori + public:maori","751.371342568269","8","-367.189119559996","15.833656908814"
"model851","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori","751.392891864642","7","-368.312884288485","15.8552062051871"
"model1739","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + maori","751.410443162837","9","-366.080221581419","15.8727575033826"
"model366","Surv(Erad_Time, Event) ~ area + Buffer + public + maori + public:maori","751.427708127786","7","-368.330292420058","15.8900224683315"
"model1582","Surv(Erad_Time, Event) ~ SS + Buffer + public + private + maori + maoriNumb + private:maori","751.435663358563","11","-363.788254214493","15.8979776991083"
"model779","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + maori + private:maori","751.439122911697","8","-367.223009731711","15.9014372522422"
"model2237","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + privNumb + maoriNumb + public:private","751.441999460266","15","-358.98186929535","15.9043138008109"
"model2213","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + private + maori + privNumb + maoriNumb + area:privNumb + public:maori","751.442456133742","18","-355.187894733538","15.9047704742873"
"model1234","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + public:private","751.464534127058","9","-366.107267063529","15.9268484676032"
"model1022","Surv(Erad_Time, Event) ~ Buffer + landing + private + maori + maoriNumb + private:maori","751.46649162814","10","-364.964015044839","15.9288059686855"
"model434","Surv(Erad_Time, Event) ~ SS + Buffer + public + maori + public:maori","751.471370997943","7","-368.352123855136","15.933685338488"
"model2317","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + private:maori","751.472515478375","15","-358.997127304405","15.9348298189199"
"model774","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + maori + public:maori","751.482856462927","8","-367.244876507325","15.9451708034719"
"model2060","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + maoriNumb","751.486810161681","11","-363.813827616052","15.9491245022259"
"model1263","Surv(Erad_Time, Event) ~ dist + SS + Buffer + private + maori + maoriNumb + private:maori","751.496019751446","11","-363.818432410934","15.9583340919914"
"model1236","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + maori + public:maori","751.497583037051","9","-366.123791518525","15.9598973775958"
"model2062","Surv(Erad_Time, Event) ~ SS + Buffer + landing + public + private + maori + maoriNumb + public:maori","751.511274360055","12","-362.649254201304","15.9735887005999"
"model767","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + maori","751.513138813842","7","-368.373007763085","15.9754531543872"
"model1922","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb + public:private","751.518719067264","12","-362.652976554908","15.9810334078089"
"model483","Surv(Erad_Time, Event) ~ Buffer + landing + private + maori","751.524150879181","6","-369.476361153876","15.9864652197264"
"model1842","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + maori + privNumb + public:maori","751.528591852113","12","-362.657912947333","15.9909061926578"
"model2093","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + privNumb + public:private","751.541899913061","13","-361.470949956531","16.0042142536066"
"model428","Surv(Erad_Time, Event) ~ SS + Buffer + landing + maori","751.544055572155","6","-369.486313500363","16.0063699126998"
"model1376","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori","751.558583792714","8","-367.282740172219","16.0208981332594"
"model1617","Surv(Erad_Time, Event) ~ Buffer + landing + public + private + maori + maoriNumb + public:private","751.585464178825","11","-363.863154624624","16.0477785193705"
"model1643","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maoriNumb","751.589390702621","11","-363.865117886522","16.0517050431658"
"model2257","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + privNumb","751.590066831544","12","-362.688650437048","16.0523811720888"
"model839","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + privNumb + area:privNumb","751.606754568341","12","-362.696994305447","16.0690689088863"
"model2239","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + maori + privNumb + maoriNumb + public:maori","751.609052835075","15","-359.065395982755","16.0713671756204"
"model2226","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + maori + privNumb","751.623578426185","12","-362.705406234369","16.0858927667305"
"model371","Surv(Erad_Time, Event) ~ area + Buffer + private + maori + private:maori","751.627903913617","7","-368.430390312973","16.0902182541619"
"model1131","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private","751.634117194626","8","-367.320506873175","16.096431535171"
"model2258","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + privNumb + area:privNumb","751.63847550591","15","-359.080107318173","16.1007898464554"
"model657","Surv(Erad_Time, Event) ~ dist + SS + Buffer + private + maori + private:maori","751.67741446444","8","-367.342155508082","16.1397288049851"
"model1638","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + public:private","751.696263040846","10","-365.078900751192","16.1585773813912"
"model949","Surv(Erad_Time, Event) ~ SS + Buffer + public + private + maori","751.705126692523","7","-368.469001702426","16.167441033068"
"model2319","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + privNumb","751.717633413543","13","-361.558816706771","16.1799477540877"
"model2376","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb","751.768444788593","15","-359.145091959514","16.2307591291379"
"model1253","Surv(Erad_Time, Event) ~ dist + SS + Buffer + public + private + maoriNumb","751.772047069771","10","-365.116792765655","16.2343614103165"
"model375","Surv(Erad_Time, Event) ~ area + Buffer + maori + privNumb","751.789570140519","8","-367.398233346122","16.2518844810641"
"model1139","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + maori + private:maori","751.858486595891","9","-366.304243297946","16.3208009364363"
"model2099","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + privNumb + public:maori","751.867577749002","13","-361.633788874501","16.3298920895471"
"model1928","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + privNumb + public:maori","751.889304792111","12","-362.838269417332","16.351619132656"
"model1076","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + private + maori + private:maori","751.914883065311","9","-366.332441532656","16.3771974058565"
"model1074","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + maoriNumb","751.930708290355","10","-365.196123375947","16.3930226308997"
"model589","Surv(Erad_Time, Event) ~ dist + area + Buffer + private + maori","751.966823559496","7","-368.599850135912","16.4291379000409"
"model1092","Surv(Erad_Time, Event) ~ dist + area + SS + landing + private + maori","751.970341457925","8","-367.488619004824","16.43265579847"
"model1021","Surv(Erad_Time, Event) ~ Buffer + landing + private + maori + maoriNumb","751.99631268585","9","-366.373156342925","16.4586270263949"
"model647","Surv(Erad_Time, Event) ~ dist + SS + Buffer + landing + maori","752.005022100763","7","-368.618949406546","16.4673364413081"
"model1654","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + maori","752.01422242571","9","-366.382111212855","16.4765367662554"
"model1071","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + maori + public:maori","752.015036763054","9","-366.382518381527","16.4773511035987"
"model112","Surv(Erad_Time, Event) ~ area + Buffer + maori","752.018808862913","5","-370.806701728754","16.4811232034579"
"model429","Surv(Erad_Time, Event) ~ SS + Buffer + landing + privNumb","752.028168323595","8","-367.517532437659","16.4904826641397"
"model660","Surv(Erad_Time, Event) ~ dist + SS + Buffer + maori + privNumb","752.052722163502","9","-366.401361081751","16.5150365040472"
"model1135","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + privNumb","752.074916777766","10","-365.268227619652","16.5372311183111"
"model1360","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + public:private","752.112454264054","9","-366.431227132027","16.5747686045987"
